"","grade","review"
"1","10"," 
                                            지루할틈없이 빵빵 터지는 대사에클라이밍의 새로운 매력재난상황에서의 어마어마한 구조력위기상황에서의 인간미 피칠갑하지 않아도 긴장감 엄청났습니다. ^^연기파 배우들 짱초반에 윤아님이 비상벨 울려주실때 심쿵!정의감 넘치고 비장했어요 ㅠㅜ킬링타임 목적에 부합한 적절한 연출력!
                                        "
"2","9"," 
                                            평점에 속아서 본 영화 중 하나집에서 봤다면 중간에 끄고 안 봤을 영화그냥 킬링타임용 
                                        "
"3","10"," 
                                            조금더 긴 스토리였으면 하는 아쉬움 뿐 아주 좋았습니다
                                        "
"4","4"," 
                                            드라마를 안 봐서 윤아 연기하는거 처음 봤는데 괜찮더군요.
                                        "
"5","8"," 
                                            
                                        "
"6","8"," 
                                            
                                        "
"7","10"," 
                                            그냥 재미있음!지루할 틈과 시간 없음.
                                        "
"8","10"," 
                                            클라이밍에서 두 배우의 힘이 느껴져서 실감 났다. 기대 안하고 갔다가 긴장감 느끼며 봤음.군더더기 없이 깔끔했던 영화. 초6아이랑 봤는데 잔인한것도 없었고 아이도 나도 엄청 집중해서 봤음."
"9","9"," 
                                            
                                        "
"10","10"," 
                                            이야 오늘부터 조정석팬됨윤아는 망가져도 이쁘네
                                        "
"11","9"," 
                                            지루할틈없이 빵빵 터지는 대사에클라이밍의 새로운 매력재난상황에서의 어마어마한 구조력위기상황에서의 인간미 피칠갑하지 않아도 긴장감 엄청났습니다. ^^연기파 배우들 짱초반에 윤아님이 비상벨 울려주실때 심쿵!정의감 넘치고 비장했어요 ㅠㅜ킬링타임 목적에 부합한 적절한 연출력!
                                        "
"12","9"," 
                                            평점에 속아서 본 영화 중 하나집에서 봤다면 중간에 끄고 안 봤을 영화그냥 킬링타임용 
                                        "
"13","9"," 
                                            조금더 긴 스토리였으면 하는 아쉬움 뿐 아주 좋았습니다
                                        "
"14","10"," 
                                            드라마를 안 봐서 윤아 연기하는거 처음 봤는데 괜찮더군요.
                                        "
"15","10"," 
                                            
                                        "
"16","9"," 
                                            
                                        "
"17","8"," 
                                            그냥 재미있음!지루할 틈과 시간 없음.
                                        "
"18","10"," 
                                            클라이밍에서 두 배우의 힘이 느껴져서 실감 났다. 기대 안하고 갔다가 긴장감 느끼며 봤음.군더더기 없이 깔끔했던 영화. 초6아이랑 봤는데 잔인한것도 없었고 아이도 나도 엄청 집중해서 봤음."
"19","10"," 
                                            
                                        "
"20","8"," 
                                            이야 오늘부터 조정석팬됨윤아는 망가져도 이쁘네
                                        "
"21","1"," 
                                            지루할틈없이 빵빵 터지는 대사에클라이밍의 새로운 매력재난상황에서의 어마어마한 구조력위기상황에서의 인간미 피칠갑하지 않아도 긴장감 엄청났습니다. ^^연기파 배우들 짱초반에 윤아님이 비상벨 울려주실때 심쿵!정의감 넘치고 비장했어요 ㅠㅜ킬링타임 목적에 부합한 적절한 연출력!
                                        "
"22","8"," 
                                            평점에 속아서 본 영화 중 하나집에서 봤다면 중간에 끄고 안 봤을 영화그냥 킬링타임용 
                                        "
"23","10"," 
                                            조금더 긴 스토리였으면 하는 아쉬움 뿐 아주 좋았습니다
                                        "
"24","10"," 
                                            드라마를 안 봐서 윤아 연기하는거 처음 봤는데 괜찮더군요.
                                        "
"25","9"," 
                                            
                                        "
"26","10"," 
                                            
                                        "
"27","10"," 
                                            그냥 재미있음!지루할 틈과 시간 없음.
                                        "
"28","9"," 
                                            클라이밍에서 두 배우의 힘이 느껴져서 실감 났다. 기대 안하고 갔다가 긴장감 느끼며 봤음.군더더기 없이 깔끔했던 영화. 초6아이랑 봤는데 잔인한것도 없었고 아이도 나도 엄청 집중해서 봤음."
"29","9"," 
                                            
                                        "
"30","8"," 
                                            이야 오늘부터 조정석팬됨윤아는 망가져도 이쁘네
                                        "
"31","6"," 
                                            지루할틈없이 빵빵 터지는 대사에클라이밍의 새로운 매력재난상황에서의 어마어마한 구조력위기상황에서의 인간미 피칠갑하지 않아도 긴장감 엄청났습니다. ^^연기파 배우들 짱초반에 윤아님이 비상벨 울려주실때 심쿵!정의감 넘치고 비장했어요 ㅠㅜ킬링타임 목적에 부합한 적절한 연출력!
                                        "
"32","9"," 
                                            평점에 속아서 본 영화 중 하나집에서 봤다면 중간에 끄고 안 봤을 영화그냥 킬링타임용 
                                        "
"33","10"," 
                                            조금더 긴 스토리였으면 하는 아쉬움 뿐 아주 좋았습니다
                                        "
"34","10"," 
                                            드라마를 안 봐서 윤아 연기하는거 처음 봤는데 괜찮더군요.
                                        "
"35","10"," 
                                            
                                        "
"36","10"," 
                                            
                                        "
"37","9"," 
                                            그냥 재미있음!지루할 틈과 시간 없음.
                                        "
"38","8"," 
                                            클라이밍에서 두 배우의 힘이 느껴져서 실감 났다. 기대 안하고 갔다가 긴장감 느끼며 봤음.군더더기 없이 깔끔했던 영화. 초6아이랑 봤는데 잔인한것도 없었고 아이도 나도 엄청 집중해서 봤음."
"39","10"," 
                                            
                                        "
"40","10"," 
                                            이야 오늘부터 조정석팬됨윤아는 망가져도 이쁘네
                                        "
"41","8"," 
                                            지루할틈없이 빵빵 터지는 대사에클라이밍의 새로운 매력재난상황에서의 어마어마한 구조력위기상황에서의 인간미 피칠갑하지 않아도 긴장감 엄청났습니다. ^^연기파 배우들 짱초반에 윤아님이 비상벨 울려주실때 심쿵!정의감 넘치고 비장했어요 ㅠㅜ킬링타임 목적에 부합한 적절한 연출력!
                                        "
"42","7"," 
                                            평점에 속아서 본 영화 중 하나집에서 봤다면 중간에 끄고 안 봤을 영화그냥 킬링타임용 
                                        "
"43","10"," 
                                            조금더 긴 스토리였으면 하는 아쉬움 뿐 아주 좋았습니다
                                        "
"44","9"," 
                                            드라마를 안 봐서 윤아 연기하는거 처음 봤는데 괜찮더군요.
                                        "
"45","10"," 
                                            
                                        "
"46","9"," 
                                            
                                        "
"47","1"," 
                                            그냥 재미있음!지루할 틈과 시간 없음.
                                        "
"48","10"," 
                                            클라이밍에서 두 배우의 힘이 느껴져서 실감 났다. 기대 안하고 갔다가 긴장감 느끼며 봤음.군더더기 없이 깔끔했던 영화. 초6아이랑 봤는데 잔인한것도 없었고 아이도 나도 엄청 집중해서 봤음."
"49","9"," 
                                            
                                        "
"50","9"," 
                                            이야 오늘부터 조정석팬됨윤아는 망가져도 이쁘네
                                        "
"51","9"," 
                                            지루할틈없이 빵빵 터지는 대사에클라이밍의 새로운 매력재난상황에서의 어마어마한 구조력위기상황에서의 인간미 피칠갑하지 않아도 긴장감 엄청났습니다. ^^연기파 배우들 짱초반에 윤아님이 비상벨 울려주실때 심쿵!정의감 넘치고 비장했어요 ㅠㅜ킬링타임 목적에 부합한 적절한 연출력!
                                        "
"52","2"," 
                                            평점에 속아서 본 영화 중 하나집에서 봤다면 중간에 끄고 안 봤을 영화그냥 킬링타임용 
                                        "
"53","8"," 
                                            조금더 긴 스토리였으면 하는 아쉬움 뿐 아주 좋았습니다
                                        "
"54","8"," 
                                            드라마를 안 봐서 윤아 연기하는거 처음 봤는데 괜찮더군요.
                                        "
"55","10"," 
                                            
                                        "
"56","10"," 
                                            
                                        "
"57","8"," 
                                            그냥 재미있음!지루할 틈과 시간 없음.
                                        "
"58","8"," 
                                            클라이밍에서 두 배우의 힘이 느껴져서 실감 났다. 기대 안하고 갔다가 긴장감 느끼며 봤음.군더더기 없이 깔끔했던 영화. 초6아이랑 봤는데 잔인한것도 없었고 아이도 나도 엄청 집중해서 봤음."
"59","9"," 
                                            
                                        "
"60","0"," 
                                            이야 오늘부터 조정석팬됨윤아는 망가져도 이쁘네
                                        "
"61","7"," 
                                            지루할틈없이 빵빵 터지는 대사에클라이밍의 새로운 매력재난상황에서의 어마어마한 구조력위기상황에서의 인간미 피칠갑하지 않아도 긴장감 엄청났습니다. ^^연기파 배우들 짱초반에 윤아님이 비상벨 울려주실때 심쿵!정의감 넘치고 비장했어요 ㅠㅜ킬링타임 목적에 부합한 적절한 연출력!
                                        "
"62","8"," 
                                            평점에 속아서 본 영화 중 하나집에서 봤다면 중간에 끄고 안 봤을 영화그냥 킬링타임용 
                                        "
"63","9"," 
                                            조금더 긴 스토리였으면 하는 아쉬움 뿐 아주 좋았습니다
                                        "
"64","7"," 
                                            드라마를 안 봐서 윤아 연기하는거 처음 봤는데 괜찮더군요.
                                        "
"65","10"," 
                                            
                                        "
"66","2"," 
                                            
                                        "
"67","10"," 
                                            그냥 재미있음!지루할 틈과 시간 없음.
                                        "
"68","1"," 
                                            클라이밍에서 두 배우의 힘이 느껴져서 실감 났다. 기대 안하고 갔다가 긴장감 느끼며 봤음.군더더기 없이 깔끔했던 영화. 초6아이랑 봤는데 잔인한것도 없었고 아이도 나도 엄청 집중해서 봤음."
"69","9"," 
                                            
                                        "
"70","10"," 
                                            이야 오늘부터 조정석팬됨윤아는 망가져도 이쁘네
                                        "
"71","1"," 
                                            지루할틈없이 빵빵 터지는 대사에클라이밍의 새로운 매력재난상황에서의 어마어마한 구조력위기상황에서의 인간미 피칠갑하지 않아도 긴장감 엄청났습니다. ^^연기파 배우들 짱초반에 윤아님이 비상벨 울려주실때 심쿵!정의감 넘치고 비장했어요 ㅠㅜ킬링타임 목적에 부합한 적절한 연출력!
                                        "
"72","10"," 
                                            평점에 속아서 본 영화 중 하나집에서 봤다면 중간에 끄고 안 봤을 영화그냥 킬링타임용 
                                        "
"73","1"," 
                                            조금더 긴 스토리였으면 하는 아쉬움 뿐 아주 좋았습니다
                                        "
"74","10"," 
                                            드라마를 안 봐서 윤아 연기하는거 처음 봤는데 괜찮더군요.
                                        "
"75","9"," 
                                            
                                        "
"76","9"," 
                                            
                                        "
"77","6"," 
                                            그냥 재미있음!지루할 틈과 시간 없음.
                                        "
"78","1"," 
                                            클라이밍에서 두 배우의 힘이 느껴져서 실감 났다. 기대 안하고 갔다가 긴장감 느끼며 봤음.군더더기 없이 깔끔했던 영화. 초6아이랑 봤는데 잔인한것도 없었고 아이도 나도 엄청 집중해서 봤음."
"79","10"," 
                                            
                                        "
"80","7"," 
                                            이야 오늘부터 조정석팬됨윤아는 망가져도 이쁘네
                                        "
